1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,HS6,HS6 ID
-0.429288314,-0.338449977,-0.516081423,-0.40337469,-0.60925298,-0.831439929,-0.797510382,-0.61135052,-0.680849103,-0.648627097,-1.205047926,-1.196242204,-0.978538048,-0.920664798,-1.135359975,-0.945838918,-0.85411415,-0.786223277,-0.219317371,-0.365374729,-0.471726266,-0.695844321,-0.644478553,-0.962099333,-0.981471463,-1.04017567,-1.172513165,"Fowls, domestic, whole, frozen",20721
0.14022542,0.357915991,0.366817221,0.424611432,0.611953235,0.753847291,0.64971217,0.670818325,0.713225698,0.685199753,0.651092232,0.668721734,0.883503882,0.958563756,0.882105983,0.81258296,0.975902035,0.965929947,0.867866007,0.907278637,0.795591808,0.780733256,0.718771774,0.722608627,0.606849149,0.7375223,0.691072174,"Poultry cuts & offal, except livers, fresh or chilled",20739
-0.241335245,-0.192474105,-0.086165105,0.075015257,0.030100366,-0.060426478,-0.03011977,-0.142425454,-0.192485353,-0.266376188,-0.297299242,-0.187673172,-0.110162567,0.104461095,-0.166441759,-0.165987223,-0.137095349,-0.088941728,0.053036517,0.05549508,0.0383263,-0.268663579,-0.466185071,-0.538168772,-0.435183135,-0.473388875,-0.779505465,"Fowl cuts & offal, domestic, except livers, frozen",20741
0.248081757,0.293889384,0.287370941,0.439272938,0.47169584,0.392096779,0.423056533,0.243341051,0.126547516,0.325029459,0.303878445,0.449228528,0.474822202,0.716764651,0.416262751,0.521225872,0.533262455,0.224044553,0.209094814,0.375854398,0.294822919,0.252883855,0.022734593,-0.121212453,0.032020096,-0.115132344,-0.304056341,"Turkey cuts & offal, except livers, frozen",20742
,,,,,,,,,,,,,,0.134953303,0.312290932,0.531617521,0.835803732,0.311304353,-0.03840746,0.049210512,0.268111835,0.75034594,0.847019097,0.71872201,0.511753883,,"Duck, goose, guinea fowl cuts, offal not liver, froze",20743
,,,,,,,,,,,-0.279579535,-0.06833284,0.05086006,-0.174814185,-0.218950892,-0.46828687,-0.278370024,0.04513832,0.090812958,-0.30148547,-0.147542733,-0.210900972,-0.020101583,-0.364488674,-0.30219078,-0.223864341,"Meat and edible offal nes fresh, chilled or frozen",20890
,,,,,,,,,,,0.523679624,0.563129732,0.736720496,0.840548103,0.84054066,0.844426022,0.839583077,0.852387222,0.539145469,0.493741208,0.294116231,0.292585602,0.377732182,0.455598628,0.490400242,0.329492404,"Pig and poultry fat, unrendered",20900
,,,,,,,,,,,,,,,,0.807928805,0.596869748,0.45941007,0.522734545,0.665674577,0.81322497,0.810803348,0.777925092,0.933676022,0.978173906,0.924595686,"Bellies (streaky) of swine, salted, dried or smoked",21012
0.906391298,0.809931364,0.787102456,0.821199029,1.090317871,1.151041203,1.116966096,1.106745898,0.711804786,0.681854532,0.513155078,0.657426403,0.41863347,0.332835189,0.457657247,0.50544212,0.303265307,0.355354462,0.367175922,0.390319212,0.731677086,0.842583455,0.769918222,0.65574871,0.734005488,0.662761245,0.617326307,"Swine meat, salted/dried/smoked not ham/shoulder/bell",21019
,,,,,,,,,,,,,-0.672504873,-0.508534246,-0.425846799,-0.526554962,-0.972996329,-0.707321618,-0.1850517,0.183051585,0.297583525,-0.481175612,-0.610935209,-0.977757474,-0.935984919,-0.915085062,"Meat and edible meat offal cured, flours, meals nes",21090
,,,,,,,,,,,,,,,-0.561195326,-0.672720199,-0.668865826,-0.982949825,-1.17100564,,-1.149619987,,-0.679672593,-0.800070984,-0.703899456,-0.499722401,Eels,30192
,,,,,,,,,,-1.972842516,-1.913150243,-1.463698692,-1.093770402,-1.090586896,-1.292562869,-1.332768988,-1.244470668,-1.126870622,-1.388104751,-1.388118297,-1.388236201,-1.365373471,-1.152238858,-1.251415862,-1.118623097,-1.13819158,Other Live Fish,30199
,,,,,,,,,,,,,,,,,,,,,-0.423739252,-0.542579519,-0.413710199,-0.568808648,-0.624891072,-0.341673891,"Trout, fresh or chilled, whole",30211
0.928628274,0.887819819,0.870707298,0.870340311,0.898273229,0.85066502,0.911293078,0.798702647,0.777870141,0.734549127,0.582147188,0.337487652,0.455800251,0.463405817,0.47993073,0.50633926,0.461934489,0.466748593,0.475655385,0.505202432,0.449347536,0.406827825,0.266889002,0.415845888,0.38427134,0.365400007,0.323139272,"Salmon fresh or chilled, whole",30212
,,,,,,,,,,,,,,,,,,,-1.381048378,-1.412572409,,,,,,,"Flatfish, fresh/chilled not halibut/plaice/sole, whol",30229
,,,,,-1.847017283,-1.85849418,-1.955174637,-1.854766607,-1.910996,-1.778941981,-1.875501427,-1.9383213,-1.806634974,-1.791848515,-2.007256054,-1.840003404,-1.777643554,-1.758889192,-1.780321039,-1.649018025,-1.626624428,-1.750426813,-1.667265077,-1.304091837,-1.332709009,-1.32961121,"Tuna nes, fresh or chilled, whole",30239
,,,,,,,,,,,,,,,,,,,-0.14105187,-0.339521962,-0.330462689,-0.33704557,-0.344130176,-0.177890025,-0.250335005,-0.245455418,"Cod, fresh or chilled, whole",30250
-1.358568819,-1.334443821,-1.377291883,-1.40150066,-1.536056888,-1.57389221,-1.642173629,-1.668252912,-1.684039701,-1.710334411,-1.640012593,-1.736343819,-1.853264187,-1.923005295,-1.90804848,-1.826141066,-1.868453802,-1.772328259,-1.712036881,-1.708523535,-1.763496498,-1.704743963,-1.762940471,-1.916889314,-1.942778884,-1.974223609,-1.889001714,"Fish nes, fresh or chilled, whole",30269
0.367276695,0.261660184,0.284959827,-0.57338506,-1.070169017,-1.428893511,-0.370083603,-0.770412522,-0.633663025,-0.709187356,-0.390362293,-0.748557688,-1.646886276,-1.606560103,-0.967388042,-1.294213926,-1.187663752,-1.366204913,-1.130806529,-0.625796223,-0.123513981,-0.052206864,-1.224668489,-0.781255099,-1.056471603,-1.062810297,-1.095352368,"Salmon, Pacific, frozen, whole",30310
,,,,,,,,,,,,,-1.308249682,-1.253636492,-0.921812564,-0.866594839,-0.789857022,-0.581326245,-0.467262577,,,,,,,,"Trout, frozen, whole",30321
,,,,,,,,,,,,,,,,0.115393697,0.185651261,0.170844688,-0.222586308,0.356077359,-0.107476433,0.224855317,0.211917418,-0.203115276,-0.640032919,-0.723591625,"Salmon Atlantic or Danube, frozen, whole",30322
,,,,,,,,,,,,,,0.524768203,0.242449741,0.127064406,0.145877295,0.154314353,0.145292495,-0.440282387,-0.144456828,-0.204537438,-0.159517077,0.070063834,0.124978492,0.119869222,"Halibut, frozen, whole",30331
,,,,,,,,,,,,,,,,,,,,-2.234725288,-2.041435464,-1.98012859,-2.022056947,-2.012388992,,,"Flatfish except halibut, plaice or sole, frozen, whol",30339
-1.837489866,-1.971576232,-1.983262927,-2.036638008,-2.008900705,-2.09350799,-2.080582169,-2.192363408,-1.920778665,-1.931546809,-2.010832993,-2.147159438,-2.027583423,-1.954650211,-2.07792204,-1.93329723,-1.777834923,-1.763811372,-1.72792221,-1.727905028,-1.602165743,-1.696672352,-1.896419619,-1.805443981,-1.922736034,-1.823458683,-1.897469684,"Tunas(yellowfin) frozen, whole",30342
,,,-1.352334027,-1.434929448,,,,-1.564106294,-1.541701289,-1.563986462,-1.687459389,-1.782173216,-1.746176725,-1.853879801,-1.73672568,-1.490741265,-1.504231083,-1.382224022,-1.61568896,-1.417662908,-1.324293179,-1.483104845,-1.664523372,-1.582402748,-1.821858107,-1.66712332,"Skipjack,stripe-bellied bonito, frozen, whole",30343
